player,player_id,position,team_name,player_game_count,assists,avg_depth_of_target,catch_rate,coverage_percent,coverage_snaps_per_reception,coverage_snaps_per_target,declined_penalties,dropped_ints,forced_incompletes,forced_incompletion_rate,franchise_id,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,interceptions,longest,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,snap_counts_coverage,snap_counts_pass_play,stops,tackles,targets,touchdowns,yards,yards_after_catch,yards_per_coverage_snap,yards_per_reception
Justin Houston,6222,ED,IND,17,0,2.5,50.0,4.5,18.0,9.0,1,0,1,50.0,14,56.6,62.2,62.5,63.2,61.1,52.0,0,9,50.0,2,0,3,62.5,1,20,447,11,2,2,0,9,2,0.5,9.0
Allen Bailey,6238,DI,ATL,16,0,-1.0,0.0,1.4,,4.0,0,0,0,0.0,2,56.7,50.9,87.4,60.3,41.1,28.1,0,,66.7,2,0,0,39.6,0,4,284,2,1,1,0,0,0,0.0,
K.J. Wright,6251,LB,SEA,17,12,4.1,75.3,82.4,8.9,6.7,0,3,6,7.4,29,79.2,75.7,78.8,67.3,67.5,56.3,1,40,12.5,8,5,2,97.9,61,559,678,25,44,81,3,502,350,0.9,8.2
Buster Skrine,6289,CB,CHI,12,1,9.2,78.5,97.4,6.8,5.3,1,0,2,3.1,6,46.2,52.3,50.6,42.6,86.4,70.3,0,40,10.0,5,2,5,123.1,51,374,384,13,44,65,4,560,207,1.6,11.0
Richard Sherman,6306,CB,SF,5,1,13.4,57.1,99.1,25.3,14.4,0,0,0,0.0,28,67.2,67.7,83.1,55.1,66.0,41.3,1,18,25.0,4,0,1,69.6,8,210,212,3,11,14,1,87,29,0.4,10.9
Pernell McPhee,6317,ED,BLT,17,0,-0.8,100.0,10.1,8.8,8.8,0,1,1,25.0,3,43.2,72.4,57.0,70.0,78.7,32.8,0,8,37.5,3,0,2,91.7,4,36,357,7,5,4,0,24,27,0.7,6.0
Lawrence Guy,6385,DI,NE,14,1,,,0.4,,,0,1,0,,19,63.5,68.2,87.4,58.8,67.1,55.4,0,,28.6,2,0,0,0.0,0,1,231,4,4,0,0,0,0,0.0,
Malcolm Smith,6394,LB,CLV,17,7,4.9,77.8,91.6,9.1,7.1,0,0,2,3.7,8,74.7,67.7,84.0,54.4,53.0,66.1,1,26,8.9,4,1,0,93.1,42,403,440,13,34,54,1,363,232,0.9,8.6
Chris Harris Jr.,6457,CB,LAC,9,2,8.6,71.1,96.3,11.7,8.3,1,1,3,7.9,27,57.4,61.9,83.9,78.1,68.4,53.1,1,54,19.2,5,2,2,128.6,27,334,347,5,19,38,4,394,193,1.2,14.6
Josh Bynes,6503,LB,CIN,16,6,2.7,83.3,92.2,10.8,9.0,0,0,2,5.6,7,60.9,52.5,35.6,64.5,47.7,59.4,0,29,9.4,3,2,2,124.0,30,342,371,8,23,36,2,335,247,1.0,11.2
Mario Addison,6558,ED,BUF,18,2,4.3,87.5,8.1,5.7,5.0,0,0,0,0.0,4,60.1,59.5,66.0,66.6,47.5,70.0,0,14,28.6,4,0,3,93.8,7,40,492,9,8,8,0,52,23,1.3,7.4
Craig Robertson,7003,LB,NO,3,0,3.5,50.0,66.7,8.0,4.0,0,0,0,0.0,20,33.2,37.0,74.0,53.4,62.0,25.3,0,8,100.0,2,0,0,60.4,1,8,12,0,0,2,0,8,7,1.0,8.0
Stephon Gilmore,7016,CB,NE,11,2,10.3,64.3,99.5,13.0,8.3,1,0,2,4.8,19,58.5,61.0,87.4,56.8,67.9,46.5,1,54,16.1,5,2,6,96.7,27,367,369,4,24,42,2,354,112,1.0,13.1
Dontari Poe,7017,DI,DAL,7,0,,,0.7,,,0,0,0,,9,59.5,55.9,84.9,48.6,60.4,32.3,0,,,0,0,0,0.0,0,1,135,0,0,0,0,0,0,0.0,
Fletcher Cox,7018,DI,PHI,15,2,,,0.9,,,0,0,0,,24,53.2,74.1,79.9,70.9,70.9,63.6,0,,33.3,2,0,1,0.0,0,4,445,7,2,0,0,0,0,0.0,
Bruce Irvin,7021,ED,SEA,2,0,-2.0,100.0,26.2,22.0,22.0,0,0,0,0.0,29,68.3,68.8,81.8,56.5,73.9,49.2,0,1,50.0,1,0,0,79.2,1,22,84,0,1,1,0,1,3,0.0,1.0
Dre Kirkpatrick,7023,CB,ARZ,14,3,9.5,65.9,99.4,8.1,5.3,2,0,4,4.5,1,46.1,49.0,34.7,74.6,71.3,48.6,3,39,14.5,8,3,9,80.5,58,506,509,7,44,88,2,637,298,1.4,11.0
Melvin Ingram III,7024,ED,LAC,7,0,,,3.7,,,0,0,0,,27,77.8,72.3,44.8,76.3,53.8,39.4,1,,33.3,1,0,2,0.0,0,9,245,2,2,0,0,0,0,0.0,
Chandler Jones,7027,ED,ARZ,5,0,1.0,100.0,2.4,4.0,4.0,0,0,0,0.0,1,76.8,62.6,61.6,63.1,56.7,29.0,0,5,0.0,0,0,1,87.5,1,4,170,1,1,1,0,5,4,1.3,5.0
Whitney Mercilus,7031,ED,HST,13,0,5.2,66.7,10.3,9.3,6.2,0,0,0,0.0,13,39.8,39.5,86.1,53.1,31.9,29.9,0,20,40.0,2,0,0,95.1,4,38,369,7,3,6,0,54,31,1.5,13.5
Derek Wolfe,7040,DI,BLT,16,1,,,1.8,,,0,0,0,,3,68.1,68.2,77.1,47.1,82.8,67.0,0,,12.5,1,0,2,0.0,0,8,437,4,6,0,0,0,0,0.0,
Janoris Jenkins,7043,CB,NO,15,8,12.9,60.0,100.0,10.4,6.2,2,4,11,12.2,20,65.5,66.7,64.9,,70.6,53.4,3,50,10.7,6,6,8,81.5,54,599,599,9,42,90,3,695,201,1.2,12.9
Mychal Kendricks,7049,LB,WAS,2,0,5.0,0.0,75.0,,9.0,0,0,0,0.0,32,50.2,54.1,72.4,67.9,56.3,78.8,0,,,0,0,0,39.6,0,9,12,0,0,1,0,0,0,0.0,
Bobby Wagner,7050,LB,SEA,17,7,5.7,73.9,86.4,10.4,7.7,0,0,9,10.2,29,69.9,85.1,68.8,86.8,90.3,85.6,0,41,9.2,6,7,2,92.6,65,701,811,20,52,88,0,612,355,0.9,9.4
Tavon Wilson,7051,S,IND,9,2,14.8,88.9,98.0,18.1,16.1,0,0,1,11.1,14,64.2,63.6,13.8,57.3,63.9,80.3,0,64,0.0,0,1,1,158.3,8,150,153,3,11,9,2,137,30,0.9,17.1
Lavonte David,7060,LB,TB,20,7,3.5,74.8,88.6,8.5,6.3,0,2,11,8.9,30,83.1,78.8,87.0,52.9,73.6,57.1,1,29,10.9,10,9,0,91.7,92,820,925,39,75,123,3,665,437,0.9,7.2
Vinny Curry,7061,ED,PHI,11,0,,,4.8,,,0,0,0,,24,63.9,68.6,88.6,70.9,53.1,40.8,0,,50.0,2,0,0,0.0,0,9,187,4,2,0,0,0,0,0.0,
Casey Hayward Jr.,7064,CB,LAC,14,3,15.1,48.0,99.6,12.6,6.1,1,1,13,17.3,27,59.5,59.5,88.1,55.5,54.6,48.2,1,53,10.3,4,7,2,92.6,36,480,482,9,32,75,5,610,145,1.3,16.9
Olivier Vernon,7074,ED,CLV,14,0,2.8,80.0,8.7,10.5,8.4,0,0,2,40.0,8,62.0,74.8,64.2,71.6,71.6,47.4,0,16,83.3,5,1,3,103.3,4,44,507,10,1,5,0,44,34,1.0,11.0
Demario Davis,7079,LB,NO,18,7,4.6,75.4,79.1,11.7,8.8,1,0,2,3.3,20,65.9,77.8,33.6,82.1,80.5,81.9,0,22,10.3,6,2,4,121.6,46,579,732,21,45,61,6,349,214,0.7,7.6
Tyrone Crawford,7083,DI,DAL,16,1,,,1.7,,,0,0,0,,9,56.7,52.6,71.7,68.8,35.9,76.8,0,,0.0,0,0,1,0.0,0,5,298,3,1,0,0,0,0,0.0,
Akiem Hicks,7090,DI,CHI,16,1,,,0.6,,,3,0,0,,6,68.4,65.2,0.0,74.1,63.2,45.9,0,,60.0,3,0,12,0.0,0,3,537,4,1,0,0,0,0,0.0,
Kyle Wilber,7113,LB,LV,5,0,5.0,50.0,86.7,13.0,6.5,0,0,0,0.0,23,46.4,45.8,73.2,58.1,53.2,44.1,0,1,,0,0,0,56.3,1,13,15,0,0,2,0,1,6,0.1,1.0
Tahir Whitehead,7135,LB,CAR,13,3,5.6,76.0,89.0,8.5,6.4,1,0,0,0.0,5,39.9,31.9,37.3,52.0,37.8,55.3,1,50,20.0,4,0,4,83.3,19,170,191,3,13,25,0,207,127,1.3,10.9
Jack Crawford,7151,ED,TEN,17,0,,,0.4,,,0,0,0,,31,54.4,53.6,74.1,56.5,53.1,41.9,0,,0.0,0,0,1,0.0,0,1,279,2,2,0,0,0,0,0.0,
George Iloka,7159,S,MIN,3,0,19.0,100.0,100.0,14.5,14.5,0,0,0,0.0,18,39.6,36.3,75.1,,59.1,82.8,0,24,0.0,0,0,0,158.3,2,31,31,0,3,2,1,37,8,1.3,18.5
Danny Trevathan,7177,LB,CHI,17,12,6.1,83.6,92.5,8.9,7.5,0,1,4,6.6,6,42.3,39.9,63.1,56.5,42.0,80.3,0,72,6.3,4,4,3,127.4,51,483,522,11,48,61,3,649,343,1.4,12.7
