player,player_id,position,team_name,player_game_count,assists,avg_depth_of_tackle,declined_penalties,forced_fumbles,franchise_id,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,missed_tackle_rate,missed_tackles,penalties,run_stop_opp,snap_counts_run,stop_percent,stops,tackles
Jace Whittaker,50465,CB,ARZ,1,0,,0,0,1,42.7,41.0,76.4,64.8,43.5,79.4,,0,0,8,11,0.0,0,0
Grant Haley,50473,CB,LA,1,0,,0,0,26,63.7,64.0,71.0,,60.0,,,0,0,2,2,0.0,0,0
Herb Miller III,50480,CB,CLV,2,0,,0,0,8,34.6,37.2,80.5,,60.0,,,0,0,6,6,0.0,0,0
Kareem Orr,50513,CB,LA,1,0,,0,0,26,29.0,28.1,76.6,,43.7,27.4,100.0,1,0,4,4,0.0,0,0
Amani Oruwariye,50533,CB,DET,14,1,8.4,0,0,11,60.3,59.0,43.7,,56.9,48.1,27.3,6,8,388,402,1.5,6,15
Avonte Maddox,50543,CB,PHI,17,4,4.7,0,0,24,73.5,71.0,34.7,79.9,57.3,83.7,6.7,1,4,240,247,2.1,5,10
Brandon Facyson,50564,CB,LV,12,5,1.6,0,0,23,42.5,49.1,27.5,60.0,76.7,50.3,14.3,3,8,238,245,4.6,11,13
Cameron Malveaux,50587,ED,PHI,4,1,3.0,1,0,24,,51.5,25.2,59.3,53.0,34.4,25.0,1,1,38,38,5.3,2,2
Justin Lawler,50592,ED,LA,3,0,,0,0,26,64.6,70.8,75.3,66.1,64.2,75.8,,0,0,9,9,0.0,0,0
Charles Omenihu,50612,ED,SF,18,2,4.3,0,0,28,60.0,66.6,45.9,82.3,44.6,29.8,15.8,3,3,170,176,5.3,9,14
Austin Calitro,50640,LB,CIN,1,0,2.0,0,0,7,54.0,49.5,71.0,56.2,54.9,40.0,50.0,1,0,6,6,0.0,0,1
Luke Gifford,50675,LB,DAL,5,1,1.0,0,0,9,55.5,48.3,74.2,59.7,49.0,78.6,0.0,0,0,15,16,13.3,2,2
Hardy Nickerson,50712,LB,HST,1,0,12.0,0,0,13,61.2,44.2,66.6,,44.5,71.4,0.0,0,0,7,7,0.0,0,1
Josey Jewell,50720,LB,DEN,2,0,1.0,0,0,10,84.6,83.5,76.2,77.0,57.6,80.6,0.0,0,0,23,23,4.3,1,1
Cody Barton,50727,LB,SEA,9,3,2.5,0,0,29,55.4,59.7,5.6,66.1,67.9,54.9,7.1,1,1,72,75,8.3,6,10
Ulysees Gilbert III,50810,LB,PIT,2,0,7.0,0,0,25,62.6,60.8,95.2,48.1,61.8,75.0,0.0,0,0,9,9,0.0,0,1
Jordyn Brooks,50851,LB,SEA,17,33,3.5,1,0,29,43.4,58.4,55.7,67.9,74.3,77.1,8.2,8,3,449,467,6.7,30,57
Micah Kiser,50879,LB,DEN,3,8,4.8,0,0,10,68.6,78.7,77.1,69.0,74.7,72.1,0.0,0,0,51,51,5.9,3,6
Roquan Smith,50892,LB,CHI,17,31,3.3,0,0,6,69.2,47.8,45.6,55.1,30.0,78.5,6.6,7,4,441,450,9.5,42,68
Emmanuel Ellerbee,50893,LB,ATL,2,0,,0,0,2,62.0,61.7,69.9,56.2,60.3,,,0,0,4,4,0.0,0,0
Andre Smith,50897,LB,BUF,1,0,,0,0,4,60.0,43.5,67.1,60.0,52.0,,,0,0,3,3,0.0,0,0
Tremaine Edmunds,50905,LB,BUF,17,19,3.4,1,0,4,34.6,48.5,66.1,63.0,68.6,79.5,5.9,4,2,354,362,7.6,27,45
Robert Spillane,50918,LB,PIT,11,8,2.9,0,0,25,44.8,46.3,39.1,59.9,54.8,63.8,14.3,4,1,149,151,7.4,11,16
Leighton Vander Esch,50950,LB,DAL,18,20,4.2,0,0,9,58.6,60.8,87.0,63.8,60.2,71.1,5.8,4,0,311,325,10.0,31,45
Bobby Okereke,50954,LB,IND,17,17,3.9,0,0,14,59.4,58.5,87.0,72.5,51.6,66.4,9.6,7,0,384,393,7.8,30,49
Travin Howard,50959,LB,LA,7,3,4.0,0,0,26,88.3,82.6,78.8,50.2,64.2,76.5,6.7,1,0,68,71,8.8,6,11
Ja'Whaun Bentley,50966,LB,NE,17,25,3.5,0,1,19,53.5,65.1,83.7,78.1,68.3,81.9,6.8,5,0,321,331,6.9,22,43
Frankie Luvu,51028,LB,CAR,16,8,0.1,0,0,5,64.1,84.8,40.3,87.9,77.2,54.5,13.8,4,1,118,120,13.6,16,17
Kenny Young,51029,LB,DEN,13,20,5.7,0,1,10,50.4,50.6,52.4,59.5,53.5,74.0,4.3,2,1,240,245,5.4,13,25
Tyrel Dodson,51045,LB,BUF,6,1,2.0,0,0,4,60.0,58.8,75.8,55.0,58.9,39.4,14.3,1,0,54,55,9.3,5,5
Shaquille Quarterman,51048,LB,JAX,9,8,4.9,0,0,15,53.0,62.9,88.2,65.0,68.5,69.2,8.7,2,0,75,78,9.3,7,13
Jahlani Tavai,51055,LB,NE,9,0,5.0,0,0,19,27.6,38.7,75.8,55.2,74.1,29.8,20.0,1,0,38,39,2.6,1,4
Jalen Elliott,51071,S,DET,3,3,,0,0,11,69.1,56.7,77.1,,33.4,28.5,40.0,2,0,50,52,0.0,0,0
Julian Love,51081,S,NYG,16,5,6.1,0,0,21,57.4,55.4,27.8,64.3,53.7,77.8,4.2,1,3,224,229,2.7,6,18
Ben Niemann,51099,LB,KC,17,9,5.7,0,0,16,50.9,49.5,85.1,67.2,41.8,61.1,10.0,3,0,163,167,2.5,4,18
A.J. Moore,51146,S,HST,5,2,,0,0,13,46.0,29.0,73.2,60.0,28.8,25.8,50.0,2,0,31,32,0.0,0,0
Taylor Rapp,51172,S,LA,18,7,8.0,0,0,26,57.5,64.5,92.4,71.3,76.5,83.2,2.5,1,1,400,414,2.0,8,32
P.J. Locke,51189,S,DEN,3,0,,0,0,10,60.0,55.2,71.5,55.8,58.1,29.8,,0,0,5,5,0.0,0,0
Andre Chachere,51194,S,PHI,5,0,3.7,0,0,24,36.6,35.0,77.6,66.7,50.7,28.6,40.0,2,0,42,42,2.4,1,3
Minkah Fitzpatrick,51206,S,PIT,17,15,11.2,0,0,25,45.1,57.2,68.7,55.0,84.3,76.0,9.9,7,2,455,465,1.3,6,49
Steven Parker,51220,S,NYG,2,0,,0,0,21,55.8,52.1,71.2,56.8,52.9,76.2,,0,0,5,5,0.0,0,0
Fred Warner,51222,LB,SF,19,33,3.1,0,1,28,79.4,80.1,85.8,59.8,77.0,73.6,8.3,8,1,436,442,7.6,33,55
Armani Watts,51264,S,KC,4,2,6.0,0,0,16,67.2,72.9,81.6,,75.9,89.2,0.0,0,0,10,10,20.0,2,3
Tracy Walker,51266,S,DET,15,13,8.6,0,0,11,62.4,63.8,61.2,58.1,66.4,69.3,15.9,10,2,371,386,3.0,11,40
Drue Tranquill,51276,LB,LAC,14,10,5.3,0,0,27,74.6,64.6,82.7,68.8,45.4,81.0,9.8,4,1,204,209,4.9,10,27
Mike Edwards,51282,S,TB,14,4,7.6,0,0,30,66.4,63.9,53.3,60.7,53.1,48.8,8.7,2,2,116,119,8.6,10,17
Kristian Welch,51283,LB,BLT,6,2,2.0,0,0,3,68.4,66.7,74.6,69.4,55.1,77.1,0.0,0,0,15,15,6.7,1,1
Khari Willis,51304,S,IND,11,10,4.8,0,0,14,50.1,60.3,83.6,62.6,75.8,82.3,2.9,1,2,228,230,5.3,12,23
Sean Chandler,51315,S,CAR,14,7,10.9,0,0,5,62.6,60.7,15.0,56.3,61.3,87.1,9.5,2,2,209,216,0.5,1,12
Terrell Edmunds,51334,S,PIT,18,12,6.4,0,0,25,67.7,58.0,86.3,58.5,35.6,74.6,8.3,4,0,468,479,2.8,13,32
Will Harris,51336,S,DET,17,9,9.1,0,0,11,41.7,42.6,48.9,50.3,51.6,82.5,8.3,3,5,404,419,1.2,5,24
Derwin James,51368,S,LAC,15,26,5.7,2,0,27,76.6,78.1,21.5,86.2,76.5,79.8,11.1,7,4,397,409,3.0,12,30
Amani Hooker,51378,S,TEN,13,11,5.4,0,0,31,86.9,85.9,91.4,63.0,76.3,66.6,10.7,3,1,228,237,1.8,4,14
Marcus Epps,51391,S,PHI,17,6,7.3,0,0,24,69.7,74.6,14.8,56.2,88.9,85.1,4.0,1,2,192,199,3.1,6,18
