player,player_id,position,team_name,player_game_count,avg_depth_of_target,avoided_tackles,caught_percent,contested_catch_rate,contested_receptions,contested_targets,declined_penalties,drop_rate,drops,first_downs,franchise_id,fumbles,grades_hands_drop,grades_hands_fumble,grades_offense,grades_pass_block,grades_pass_route,inline_rate,inline_snaps,interceptions,longest,pass_block_rate,pass_blocks,pass_plays,penalties,receptions,route_rate,routes,slot_rate,slot_snaps,targeted_qb_rating,targets,touchdowns,wide_rate,wide_snaps,yards,yards_after_catch,yards_after_catch_per_reception,yards_per_reception,yprr
Ben Ellefson,27766,TE,MIN,4,5.3,0,100.0,,0,0,0,0.0,0,2,18,0,70.5,65.8,79.1,72.2,89.5,90.0,18,0,12,65.0,13,20,0,3,30.0,6,0.0,0,102.8,3,0,5.0,1,26,10,3.3,8.7,4.33
Jalen Tolbert,61637,WR,DAL,7,15.7,0,66.7,100.0,1,1,0,0.0,0,0,9,0,68.3,64.0,48.7,62.3,50.7,0.0,0,0,8,2.3,1,44,1,2,90.9,40,11.4,5,74.3,3,0,88.6,39,12,0,0.0,6.0,0.3
Miles Boykin,48209,WR,PIT,11,14.7,0,66.7,100.0,1,1,0,0.0,0,1,25,0,68.3,64.0,63.1,62.1,57.1,6.5,2,0,11,3.2,1,31,1,2,93.5,29,25.8,8,72.9,3,0,67.7,21,11,0,0.0,5.5,0.38
Jason Cabinda,50714,FB,DET,8,5.7,0,33.3,,0,0,0,50.0,1,1,11,0,28.9,64.6,48.5,52.1,39.5,7.3,3,0,5,36.6,15,41,1,1,56.1,23,14.6,6,42.4,3,0,14.6,6,5,2,2.0,5.0,0.22
Julius Chestnut,109239,HB,TEN,3,0.3,1,100.0,,0,0,0,0.0,0,1,31,0,70.5,78.3,63.4,72.4,71.6,0.0,0,0,33,5.3,1,19,0,3,94.7,18,5.3,1,118.8,3,0,0.0,0,41,40,13.3,13.7,2.28
Lil'Jordan Humphrey,42247,WR,NE,5,5.7,0,66.7,,0,0,0,0.0,0,0,19,0,68.3,64.0,57.8,,53.1,2.2,1,0,11,0.0,0,46,1,2,95.7,44,80.4,37,85.4,3,0,17.4,8,20,15,7.5,10.0,0.45
Kendall Blanton,47311,TE,LA,4,6.0,0,100.0,,0,0,0,0.0,0,1,26,0,68.3,64.0,70.1,75.5,83.4,76.9,10,0,28,30.8,4,13,0,2,69.2,9,7.7,1,118.8,2,0,15.4,2,35,23,11.5,17.5,3.89
Caleb Huntley,57156,HB,ATL,11,-2.5,0,100.0,,0,0,0,0.0,0,0,2,0,68.3,57.3,86.9,39.9,53.4,0.0,0,0,2,14.3,5,35,0,2,82.9,29,2.9,1,79.2,2,0,2.9,1,3,8,4.0,1.5,0.1
KaVontae Turpin,47658,WR,DAL,13,6.0,0,100.0,100.0,1,1,0,0.0,0,0,9,0,68.3,90.4,53.0,,52.5,0.0,0,0,9,0.0,0,27,0,2,96.3,26,88.9,24,102.1,2,0,11.1,3,17,5,2.5,8.5,0.65
Anthony McFarland Jr.,57289,HB,PIT,1,-1.5,0,100.0,,0,0,0,0.0,0,1,25,0,68.3,72.3,71.5,,65.4,0.0,0,0,12,0.0,0,11,0,2,100.0,11,9.1,1,89.6,2,0,0.0,0,11,14,7.0,5.5,1.0
