player,player_id,position,team_name,player_game_count,batted_passes,declined_penalties,franchise_id,grades_pass_rush_defense,hits,hurries,pass_rush_opp,pass_rush_percent,pass_rush_win_rate,pass_rush_wins,penalties,prp,sacks,snap_counts_pass_play,snap_counts_pass_rush,total_pressures,true_pass_set_batted_passes,true_pass_set_grades_pass_rush_defense,true_pass_set_hits,true_pass_set_hurries,true_pass_set_pass_rush_opp,true_pass_set_pass_rush_percent,true_pass_set_pass_rush_win_rate,true_pass_set_pass_rush_wins,true_pass_set_prp,true_pass_set_sacks,true_pass_set_snap_counts_pass_play,true_pass_set_snap_counts_pass_rush,true_pass_set_total_pressures
Mike Hughes,34057,CB,MIN,4,0,0,18,73.1,0,0,1,0.9,100.0,1,1,0.0,0,111,1,0,0,73.1,0,0,1,2.0,100.0,1,0.0,0,49,1,0
Darnell Savage,34247,S,GB,17,0,0,12,84.7,1,2,12,2.1,0.0,0,1,20.8,1,606,13,4,0,69.5,0,0,4,1.9,0.0,0,25.0,1,265,5,1
Zack Baun,34632,LB,NO,10,0,0,20,53.7,0,0,9,30.0,0.0,0,0,0.0,0,30,9,0,0,,0,0,0,0.0,,0,,0,1,0,0
Johnathan Abram,34646,S,LV,13,0,0,23,67.8,4,6,53,10.0,9.4,5,5,9.4,0,548,55,10,0,61.7,0,3,19,7.6,15.8,3,7.9,0,249,19,3
Akeem Davis-Gaither,34788,LB,CIN,16,0,0,7,48.0,1,5,39,17.2,10.3,4,0,10.3,1,233,40,7,0,45.1,0,4,20,17.5,10.0,2,15.0,1,120,21,5
Jamel Dean,34918,CB,TB,18,0,1,30,59.1,0,5,10,1.5,0.0,0,4,25.0,0,683,10,5,0,49.3,0,2,3,0.9,0.0,0,33.3,0,334,3,2
Tae Hayes,35173,CB,MIN,2,0,1,18,73.1,0,0,0,4.2,,0,2,,0,24,1,0,0,,0,0,0,0.0,,0,,0,8,0,0
Trevis Gipson,35241,ED,CHI,6,0,0,6,63.4,3,1,41,97.6,7.3,3,1,4.9,0,42,41,4,0,61.3,2,0,12,100.0,0.0,0,8.3,0,12,12,2
Tyshun Render,35744,ED,MIA,1,0,0,17,52.6,0,0,6,100.0,0.0,0,0,0.0,0,7,7,0,0,54.6,0,0,2,100.0,0.0,0,0.0,0,3,3,0
Tae Crowder,35774,LB,NYG,10,0,0,21,60.3,1,4,33,13.9,0.0,0,0,10.6,1,244,34,6,0,59.9,0,1,9,13.0,0.0,0,16.7,1,69,9,2
Austin Bryant,36248,ED,DET,6,0,1,11,59.1,2,4,100,89.2,10.0,10,5,3.0,0,120,107,6,0,54.3,1,1,42,97.8,7.1,3,2.4,0,46,45,2
Kyle Phillips,36340,ED,NYJ,7,0,0,22,51.0,1,5,67,93.5,6.0,4,1,4.5,0,77,72,6,0,57.0,0,3,18,95.2,16.7,3,8.3,0,21,20,3
Ron'Dell Carter,36346,ED,DAL,3,0,0,9,53.8,0,3,15,93.8,20.0,3,0,10.0,0,16,15,3,0,60.6,0,2,7,100.0,28.6,2,14.3,0,7,7,2
Chauncey Rivers,36669,ED,BLT,1,0,0,3,50.4,0,0,11,84.6,0.0,0,0,0.0,0,13,11,0,0,55.8,0,0,2,100.0,0.0,0,0.0,0,2,2,0
Albert Huggins,36862,DI,DET,1,0,0,11,55.5,0,1,6,100.0,16.7,1,0,8.3,0,6,6,1,0,55.9,0,1,4,100.0,25.0,1,12.5,0,4,4,1
Shy Tuttle,37279,DI,NO,15,2,0,20,53.5,1,5,169,98.4,1.8,3,0,1.8,0,184,181,6,0,52.9,1,3,51,100.0,5.9,3,3.9,0,55,55,4
Darryl Johnson,37479,ED,BUF,17,0,0,4,61.1,0,8,145,94.6,11.7,17,0,3.4,1,166,157,9,0,66.9,0,7,65,95.8,18.5,12,6.9,1,71,68,8
Derrek Tuszka,37724,ED,DEN,6,0,0,10,56.2,0,1,12,85.7,8.3,1,0,4.2,0,14,12,1,0,52.2,0,0,7,100.0,0.0,0,0.0,0,7,7,0
Troy Reeder,38268,LB,LA,11,0,0,26,77.3,2,3,27,9.1,25.9,7,0,20.4,3,339,31,8,0,76.6,1,3,15,13.4,40.0,6,26.7,2,134,18,6
Bryan Mone,38461,DI,SEA,11,0,0,29,65.6,1,7,133,100.0,9.0,12,0,3.8,1,137,137,9,0,63.9,0,2,38,100.0,13.2,5,5.3,1,39,39,3
Casey Toohill,38472,ED,WAS,7,0,0,32,61.7,1,2,25,96.7,8.0,2,0,6.0,0,30,29,3,0,71.2,0,2,9,100.0,22.2,2,11.1,0,10,10,2
Cortez Broughton,38524,DI,LAC,8,1,0,27,61.7,0,1,53,100.0,7.5,4,0,0.9,0,56,56,1,1,60.2,0,1,18,100.0,5.6,1,2.8,0,20,20,1
Marquise Copeland,38540,DI,LA,1,0,0,26,58.5,0,1,2,100.0,50.0,1,0,25.0,0,2,2,1,0,,0,0,0,,,0,,0,0,0,0
Folorunso Fatukasi,38558,DI,NYJ,15,2,0,22,64.0,2,8,222,100.0,6.3,14,4,3.2,2,239,239,12,0,59.3,0,5,64,100.0,10.9,7,7.0,2,70,70,7
Maurice Hurst,38563,DI,LV,11,2,0,23,78.5,5,5,143,100.0,9.1,13,0,4.2,1,149,149,11,2,87.9,2,4,51,100.0,11.8,6,5.9,0,52,52,6
Alijah Holder,38567,S,DEN,6,0,1,10,52.5,0,1,3,9.8,0.0,0,1,16.7,0,41,4,1,0,52.8,0,0,2,11.1,0.0,0,0.0,0,27,3,0
Eric Wilson,38587,LB,MIN,16,1,0,18,67.9,5,2,71,12.6,9.9,7,1,10.6,4,594,75,11,1,68.4,4,0,26,12.1,15.4,4,15.4,2,232,28,6
Austin Larkin,38754,ED,CAR,9,0,0,5,53.0,0,5,59,93.9,10.2,6,0,4.2,0,66,62,5,0,53.8,0,2,15,94.4,20.0,3,6.7,0,18,17,2
Chapelle Russell,38876,LB,TB,2,0,0,30,60.0,0,0,1,50.0,0.0,0,0,0.0,0,2,1,0,0,,0,0,0,,,0,,0,0,0,0
Randy Ramsey,39094,ED,GB,10,0,0,12,53.8,0,2,48,90.9,4.2,2,1,2.1,0,55,50,2,0,56.4,0,1,21,81.5,4.8,1,2.4,0,27,22,1
D'Andre Walker,39140,ED,SEA,1,0,0,29,59.1,0,0,1,100.0,0.0,0,0,0.0,0,1,1,0,0,,0,0,0,,,0,,0,0,0,0
Joe Giles-Harris,39382,LB,JAX,6,0,0,15,78.9,4,2,36,48.1,16.7,6,0,11.1,1,79,38,7,0,68.2,1,0,8,64.3,25.0,2,18.8,1,14,9,2
Frank Herron,39383,DI,DET,4,1,0,11,59.8,0,2,42,100.0,7.1,3,1,2.4,0,43,43,2,0,64.8,0,1,12,100.0,16.7,2,4.2,0,12,12,1
Tershawn Wharton,40292,DI,KC,19,1,0,16,65.3,4,19,377,97.2,9.0,34,0,3.8,3,422,410,26,1,68.5,2,16,193,98.6,12.4,24,5.7,2,214,211,20
Stephen Sullivan,40411,ED,SEA,1,0,0,29,48.8,0,1,17,85.7,0.0,0,0,2.9,0,21,18,1,0,50.9,0,0,8,80.0,0.0,0,0.0,0,10,8,0
