player,player_id,position,team_name,player_game_count,batted_passes,declined_penalties,franchise_id,grades_pass_rush_defense,hits,hurries,pass_rush_opp,pass_rush_percent,pass_rush_win_rate,pass_rush_wins,penalties,prp,sacks,snap_counts_pass_play,snap_counts_pass_rush,total_pressures,true_pass_set_batted_passes,true_pass_set_grades_pass_rush_defense,true_pass_set_hits,true_pass_set_hurries,true_pass_set_pass_rush_opp,true_pass_set_pass_rush_percent,true_pass_set_pass_rush_win_rate,true_pass_set_pass_rush_wins,true_pass_set_prp,true_pass_set_sacks,true_pass_set_snap_counts_pass_play,true_pass_set_snap_counts_pass_rush,true_pass_set_total_pressures
Vince Biegel,11863,ED,GB,8,0,0,12,56.5,0,5,54,91.8,9.3,5,1,4.6,0,61,56,5,0,63.3,0,4,22,92.0,18.2,4,9.1,0,25,23,4
Jaleel Johnson,11864,DI,MIN,6,0,1,18,50.3,0,0,32,100.0,0.0,0,1,0.0,0,33,33,0,0,51.5,0,0,17,100.0,0.0,0,0.0,0,17,17,0
Eddie Jackson,11867,S,CHI,16,0,0,6,56.4,0,1,3,0.5,0.0,0,0,16.7,0,627,3,1,0,56.5,0,1,2,0.7,0.0,0,25.0,0,287,2,1
Rayshawn Jenkins,11868,S,LAC,11,0,0,27,57.2,1,0,2,3.2,50.0,1,0,25.0,0,63,2,1,0,58.4,1,0,1,3.4,100.0,1,50.0,0,29,1,1
Samaje Perine,11869,HB,WAS,1,0,0,32,60.0,0,0,1,100.0,0.0,0,0,0.0,0,1,1,0,0,60.0,0,0,1,100.0,0.0,0,0.0,0,1,1,0
Carl Lawson,11871,ED,CIN,16,0,0,7,75.1,11,38,363,96.0,18.5,67,7,9.5,10,405,389,59,0,78.6,9,31,245,97.0,23.7,58,12.2,10,271,263,50
Ben Gedeon,11875,LB,MIN,17,0,0,18,56.3,0,0,4,5.0,0.0,0,0,0.0,0,101,5,0,0,59.9,0,0,1,3.3,0.0,0,0.0,0,30,1,0
Montae Nicholson,11878,S,WAS,8,0,0,32,69.2,1,1,2,1.0,0.0,0,1,50.0,0,208,2,2,0,,0,0,0,0.0,,0,,0,106,0,0
Jalen Reeves-Maybin,11879,LB,DET,12,1,0,11,63.7,0,2,20,13.4,10.0,2,0,5.0,0,149,20,2,0,69.5,0,2,7,10.9,28.6,2,14.3,0,64,7,2
Samson Ebukam,11880,ED,LA,17,0,1,26,59.4,2,9,131,67.8,10.7,14,2,5.7,2,205,139,13,0,57.9,1,6,73,75.2,13.7,10,4.8,0,101,76,7
