player,player_id,position,team_name,player_game_count,assists,avg_depth_of_target,catch_rate,coverage_percent,coverage_snaps_per_reception,coverage_snaps_per_target,declined_penalties,dropped_ints,forced_incompletes,forced_incompletion_rate,franchise_id,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,interceptions,longest,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,snap_counts_coverage,snap_counts_pass_play,stops,tackles,targets,touchdowns,yards,yards_after_catch,yards_per_coverage_snap,yards_per_reception
Charles Omenihu,50612,DI,HST,16,0,4.0,100.0,1.9,6.0,6.0,2,0,0,0.0,13,69.3,59.8,30.6,63.7,55.6,27.0,0,4,25.0,1,0,4,83.3,1,7,363,5,3,1,0,4,0,0.7,4.0
Austin Calitro,50640,LB,JAX,6,3,3.4,78.3,93.1,5.8,4.5,0,0,1,4.3,15,40.7,44.3,79.7,68.0,52.3,48.9,0,25,10.5,2,1,0,108.2,18,108,116,5,14,23,1,149,84,1.4,8.3
Shaquem Griffin,50657,ED,SEA,8,0,2.0,100.0,6.9,7.0,7.0,0,0,0,0.0,29,51.1,63.5,81.5,63.4,61.7,75.1,0,9,0.0,0,0,0,104.2,1,7,101,1,1,1,0,9,7,1.3,9.0
Hardy Nickerson,50712,LB,CIN,6,0,6.0,100.0,92.0,11.5,11.5,0,0,0,0.0,7,57.8,61.1,71.3,55.8,64.6,59.0,0,35,0.0,0,0,0,118.8,2,23,25,1,1,2,0,39,27,1.7,19.5
Josey Jewell,50720,LB,DEN,10,2,4.6,80.0,89.8,8.4,6.7,0,0,0,0.0,10,46.0,68.4,13.7,84.1,88.5,73.2,0,27,14.3,2,0,1,96.9,12,106,118,6,10,15,0,109,76,1.1,9.1
Cody Barton,50727,LB,SEA,10,4,4.5,66.7,84.6,8.6,5.7,0,0,1,5.6,29,49.6,56.6,84.3,71.6,58.9,75.4,0,21,7.7,1,1,0,92.4,12,110,130,3,8,18,0,150,114,1.5,12.5
Cameron Smith,50739,LB,MIN,2,0,,,75.0,,,0,0,0,,18,61.8,77.4,73.2,59.1,75.7,78.1,0,,,0,0,0,0.0,0,3,4,0,0,0,0,0,0,0.0,
Roquan Smith,50892,LB,CHI,12,5,3.4,75.4,88.9,8.3,6.3,0,0,1,1.8,6,55.4,52.4,57.1,51.5,53.0,81.9,1,28,9.1,4,1,2,86.1,43,391,440,11,35,57,0,390,284,1.1,9.1
Andre Smith,50897,LB,CAR,1,0,,,90.9,,,0,0,0,,5,67.8,65.8,73.6,59.0,59.2,73.2,0,,0.0,0,0,0,0.0,0,10,11,0,1,0,0,0,0,0.0,
Tremaine Edmunds,50905,LB,BUF,17,8,5.6,79.7,89.1,11.9,9.5,0,1,4,6.8,4,50.3,59.4,87.8,64.9,68.0,54.0,1,50,15.5,9,4,2,108.9,47,590,662,19,41,59,2,538,311,1.0,11.4
